Id,SalePrice
1,172150.523106219
2,172150.523106219
3,172150.523106219
4,172150.523106219
5,172150.523106219
6,172150.523106219
7,172150.523106219
8,172150.523106219
9,172150.523106219
10,172150.523106219
11,172150.523106219
12,172150.523106219
13,172150.523106219
14,172150.523106219
15,172150.523106219
16,172150.523106219
17,172150.523106219
18,172150.523106219
19,172150.523106219
20,172150.523106219
21,172150.523106219
22,172150.523106219
23,172150.523106219
24,172150.523106219
25,172150.523106219
26,172150.523106219
27,172150.523106219
28,172150.523106219
29,172150.523106219
30,172150.523106219
31,172150.523106219
32,172150.523106219
33,172150.523106219
34,172150.523106219
35,172150.523106219
36,172150.523106219
37,172150.523106219
38,172150.523106219
39,172150.523106219
40,172150.523106219
41,172150.523106219
42,172150.523106219
43,172150.523106219
44,172150.523106219
45,172150.523106219
46,172150.523106219
47,172150.523106219
48,172150.523106219
49,172150.523106219
50,172150.523106219
51,172150.523106219
52,172150.523106219
53,172150.523106219
54,172150.523106219
55,172150.523106219
56,172150.523106219
57,172150.523106219
58,172150.523106219
59,172150.523106219
60,172150.523106219
61,172150.523106219
62,172150.523106219
63,172150.523106219
64,172150.523106219
65,172150.523106219
66,172150.523106219
67,172150.523106219
68,172150.523106219
69,172150.523106219
70,172150.523106219
71,172150.523106219
72,172150.523106219
73,172150.523106219
74,172150.523106219
75,172150.523106219
76,172150.523106219
77,172150.523106219
78,172150.523106219
79,172150.523106219
80,172150.523106219
81,172150.523106219
82,172150.523106219
83,172150.523106219
84,172150.523106219
85,172150.523106219
86,172150.523106219
87,172150.523106219
88,172150.523106219
89,172150.523106219
90,172150.523106219
91,172150.523106219
92,172150.523106219
93,172150.523106219
94,172150.523106219
95,172150.523106219
96,172150.523106219
97,172150.523106219
98,172150.523106219
99,172150.523106219
100,172150.523106219
101,172150.523106219
102,172150.523106219
103,172150.523106219
104,172150.523106219
105,172150.523106219
106,172150.523106219
107,172150.523106219
108,172150.523106219
109,172150.523106219
110,172150.523106219
111,172150.523106219
112,172150.523106219
113,172150.523106219
114,172150.523106219
115,172150.523106219
116,172150.523106219
117,172150.523106219
118,172150.523106219
119,172150.523106219
120,172150.523106219
121,172150.523106219
122,172150.523106219
